Date,Client,Poids reçu
08/07/2025,PETRO IVOIRE,2 612 109
08/07/2025,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
08/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,448 508
04/07/2025,PETRO IVOIRE,1 184 269
03/07/2025,PETRO IVOIRE,1 492 974
02/07/2025,PETRO IVOIRE,507 844
02/07/2025,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
01/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,757 688
01/07/2025,PETRO IVOIRE,725 112
28/06/2025,PETRO IVOIRE,1 226 778
28/06/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,262 233
26/06/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,413 603
26/06/2025,PETRO IVOIRE,2 086 557
26/06/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
24/06/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,259 067
24/06/2025,PETRO IVOIRE,1 226 436
23/06/2025,PETRO IVOIRE,1 247 311
23/06/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,271 742
21/06/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,232 949
21/06/2025,PETRO IVOIRE,1 101 782
21/06/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
19/06/2025,PETRO IVOIRE,1 207 483
18/06/2025,PETRO IVOIRE,1 498 766
16/06/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,691 669
16/06/2025,PETRO IVOIRE,1 293 751
16/06/2025,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
14/06/2025,VIVO ENERGY CÔTE D'IVOIRE,1 300 000
14/06/2025,PETRO IVOIRE,2 494 273
14/06/2025,PETRO IVOIRE,2 238 169
14/06/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,959 215
08/06/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,250 507
08/06/2025,PETRO IVOIRE,1 264 113
05/06/2025,PETRO IVOIRE,2 045 218
05/06/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,457 534
05/06/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
01/06/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,231 949
01/06/2025,PETRO IVOIRE,918 276
01/06/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
31/05/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,121 000
31/05/2025,PETRO IVOIRE,2 892 538
26/05/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
26/05/2025,PETRO IVOIRE,3 666 013
26/05/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,842 937
21/05/2025,PETRO IVOIRE,1 247 623
20/05/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
20/05/2025,PETRO IVOIRE,988 831
17/05/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,187 135
17/05/2025,PETRO IVOIRE,2 000 000
17/05/2025,VIVO ENERGY CÔTE D'IVOIRE,800 000
14/05/2025,PETRO IVOIRE,2 000 000
14/05/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
14/05/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,0
14/05/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,1 520 456
08/05/2025,PETRO IVOIRE,964 989
08/05/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,207 056
07/05/2025,PETRO IVOIRE,1 600 141
07/05/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,383 857
07/05/2025,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
03/05/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,542 629
03/05/2025,PETRO IVOIRE,1 499 597
03/05/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
30/04/2025,PETRO IVOIRE,1 126 070
30/04/2025,PETRO IVOIRE,379 819
26/04/2025,PETRO IVOIRE,100 512
26/04/2025,VIVO ENERGY CÔTE D'IVOIRE,1 400 000
24/04/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,1 200 000
24/04/2025,PETRO IVOIRE,1 682 403
20/04/2025,PETRO IVOIRE,3 112 295
20/04/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,815 453
15/04/2025,PETRO IVOIRE,1 140 763
15/04/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,255 899
14/04/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
12/04/2025,PETRO IVOIRE,2 059 505
12/04/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,454 110
09/04/2025,VIVO ENERGY CÔTE D'IVOIRE,800 000
09/04/2025,PETRO IVOIRE,1 202 233
07/04/2025,VIVO ENERGY CÔTE D'IVOIRE,700 000
07/04/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,394 943
07/04/2025,PETRO IVOIRE,1 898 544
04/04/2025,PETRO IVOIRE,1 242 841
04/04/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,256 441
03/04/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,169 500
03/04/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
03/04/2025,PETRO IVOIRE,832 812
01/04/2025,PETRO IVOIRE,814 194
30/03/2025,PETRO IVOIRE,863 318
30/03/2025,PETRO IVOIRE,3 625 663
25/03/2025,PETRO IVOIRE,1 509 207
24/03/2025,VIVO ENERGY CÔTE D'IVOIRE,800 000
24/03/2025,PETRO IVOIRE,732 197
21/03/2025,PETRO IVOIRE,1 093 037
20/03/2025,VIVO ENERGY CÔTE D'IVOIRE,700 000
20/03/2025,PETRO IVOIRE,797 115
18/03/2025,PETRO IVOIRE,969 655
18/03/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,219 057
15/03/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,277 147
15/03/2025,PETRO IVOIRE,1 867 253
13/03/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,530 614
13/03/2025,PETRO IVOIRE,2 471 721
10/03/2025,PETRO IVOIRE,572 166
10/03/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,133 685
09/03/2025,PETRO IVOIRE,1 155 136
09/03/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,287 164
08/03/2025,PETRO IVOIRE,1 226 180
08/03/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,308 464
06/03/2025,PETRO IVOIRE,2 283 760
06/03/2025,VIVO ENERGY CÔTE D'IVOIRE,2 000 000
06/03/2025,PETRO IVOIRE,0
06/03/2025,VIVO ENERGY CÔTE D'IVOIRE,0
28/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,897 311
27/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,305 387
27/02/2025,PETRO IVOIRE,1 199 260
26/02/2025,PETRO IVOIRE,1 203 936
26/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,290 539
25/02/2025,PETRO IVOIRE,1 444 338
25/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,2 000 000
25/02/2025,VIVO ENERGY CÔTE D'IVOIRE,600 000
19/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,198 248
19/02/2025,PETRO IVOIRE,892 419
18/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,136 249
18/02/2025,VIVO ENERGY CÔTE D'IVOIRE,800 000
18/02/2025,PETRO IVOIRE,577 793
15/02/2025,PETRO IVOIRE,1 182 295
15/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,295 339
13/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,164 689
13/02/2025,PETRO IVOIRE,701 466
12/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,267 534
12/02/2025,PETRO IVOIRE,1 140 358
10/02/2025,PETRO IVOIRE,1 234 605
10/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,268 996
08/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,59 251
08/02/2025,PETRO IVOIRE,337 273
07/02/2025,PETRO IVOIRE,1 113 135
07/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,195 551
06/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,208 784
06/02/2025,PETRO IVOIRE,1 188 460
05/02/2025,PETRO IVOIRE,423 463
05/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,74 392
05/02/2025,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
03/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,184 455
03/02/2025,PETRO IVOIRE,1 144 163
03/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,193 482
03/02/2025,PETRO IVOIRE,1 313 310
02/02/2025,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
02/02/2025,PETRO IVOIRE,418 768
02/02/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,61 456
29/01/2025,PETRO IVOIRE,948 364
29/01/2025,VIVO ENERGY CÔTE D'IVOIRE,650 000
29/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,190 633
28/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,233 678
28/01/2025,PETRO IVOIRE,1 273 053
27/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,263 305
27/01/2025,PETRO IVOIRE,1 228 002
25/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,89 172
25/01/2025,PETRO IVOIRE,400 290
24/01/2025,PETRO IVOIRE,3 677 762
